DESTINO,ORIGEN,CANTIDAD,FOBDOL,FOBPES
BRA,BOG,99,99,332
BRA,BOG,1272,1272,5946
BRA,BOG,180,180,599
BRA,BOG,3207,3207,12912
BRA,BOG,1757,87,1757
BRA,BOG,48,48,212
BRA,BOG,45,45,146
BRA,BOG,734,4,734
BRA,BOG,1,0,5
BRA,BOG,1,0,97
BRA,BOG,429,429,64
BRA,BOG,150,150,483
BRA,BOG,464,9,4
BRA,BOG,669,18,13
BRA,BOG,2,179310,45
BRA,BOG,330,3,64
BRA,BOG,4179,83,3301598
BRA,BOG,684540,204,5
BRA,BOG,93,93,72
BRA,BOG,10,490,2064125
BRA,BOG,0,0,5
BRN,BOG,16,750,3189067
BGR,BOG,45000,12,4
CYM,BOG,26,26,89
CAN,BOG,34,38,34
CAN,BOG,3265,6,3265
CAN,BOG,17510,3113,5
CAN,BOG,2340,97,657
CAN,BOG,600,13,192
CAN,BOG,7625,3641,6
CAN,BOG,2000,1010,65
CAN,BOG,499,4882,22
CAN,BOG,2885,328,6
CAN,BOG,1160,373,7
CAN,BOG,2705,89,541
CAN,BOG,6330,805,3
CAN,BOG,335,25,122
CAN,BOG,297,297,1173
CAN,BOG,2310,2310,23401
CAN,BOG,1870,1870,17830
CAN,BOG,40,40,124
CAN,BOG,812,812,3064
CAN,BOG,160,160,807
CAN,BOG,1189,69,1189
CAN,BOG,474,474,1334
CAN,BOG,3041,21,3041
CAN,BOG,15,15,240
CAN,BOG,450,450,3158
CAN,BOG,382,9,382
CAN,BOG,16852,81,16852
CAN,BOG,36,14,7
CAN,BOG,109,49,29
CAN,BOG,38,14,49
CAN,BOG,438,178,94
CAN,BOG,614,233,25
CAN,BOG,1,0,49
CAN,BOG,12,3,97
CAN,BOG,259,100,1
CAN,BOG,1140,89,58
CAN,BOG,3811,296,21
CAN,BOG,34,10,88
CAN,BOG,7,3,49
CAN,BOG,1,0,48
CAN,BOG,29,13,9
CAN,BOG,64,21,15
CAN,BOG,6,0,51
CAN,BOG,10,4,57
CAN,BOG,75,26,6
CAN,BOG,40,14,81
CAN,BOG,43,13,91
CAN,BOG,10,4,57
CAN,BOG,8,3,66
CAN,BOG,164,58,79
CAN,BOG,27,11,6
CAN,BOG,36,13,71
CAN,BOG,119,44,9
CAN,BOG,282,106,4
CAN,BOG,41,15,47
CAN,BOG,61,23,2
CAN,BOG,294,24,57
CAN,BOG,1809,151,21
CAN,BOG,3,1,13
CAN,BOG,16,6,4
CAN,BOG,444,37,11
CAN,BOG,107,38,61
CAN,BOG,8,3,2
CAN,BOG,30,2,51
CAN,BOG,21,7,91
CAN,BOG,17430,624,2912
CAN,BOG,8400,352,2054
CAN,BOG,80054,2939,18804
CAN,BOG,1814,1814,5388
CAN,BOG,160,160,671
CAN,BOG,160,160,550
CAN,BOG,120,120,550
CAN,BOG,164,164,626
CAN,BOG,1336,1336,5682
CAN,BOG,300,2,11700
CAN,BOG,162,3895,16478225
CAN,BOG,661,6,71
CAN,BOG,495,495,8538
CAN,BOG,10240,8,3642
CAN,BOG,325,2661,75
CAN,BOG,3430,18672,5
CAN,BOG,450,450,750
CAN,BOG,5216,5216,10504
CAN,BOG,9294,9294,17711
CAN,BOG,2173,2173,7537
CAN,BOG,2165,2165,3493
CAN,BOG,306,306,1120
CAN,BOG,165,3,8540
CAN,BOG,3800,6522,8
CAN,BOG,6760,8,2973
CAN,BOG,2,6,100
CAN,BOG,2,6658,4
CAN,BOG,2,100,405376
CAN,BOG,10000,1600,6975039
CAN,BOG,32225,1903,2
CAN,BOG,2200,46,9
CAN,BOG,25684,692,35
